format,body,additionalText,options,correctOptions,multiple,abstentionsAllowed,duration
CHOICE,"BH-Q1. 
한 회사가 NFS를 사용하여 온프레미스 네트워크 연결 스토리지에 대용량 비디오 파일을 저장합니다. 각 비디오 파일의 크기는 1MB에서 500GB까지입니다. 
총 스토리지는 70TB이며 더 이상 증가하지 않습니다. 회사는 비디오 파일을 Amazon S3로 마이그레이션하기로 결정했습니다. 
회사는 가능한 한 빨리 비디오 파일을 마이그레이션해야 하며 가능한 한 최소한의 네트워크 대역폭을 사용해야 합니다.

어떤 솔루션이 이러한 요구 사항을 충족할까요?",,"A. S3 버킷을 만듭니다. S3 버킷에 쓸 수 있는 권한이 있는 IAM 역할을 만듭니다. AWS CLI를 사용하여 모든 파일을 로컬로 S3 버킷에 복사합니다.
B. AWS Snowball Edge 작업을 만듭니다. 온프레미스에서 Snowball Edge 장치를 받습니다. Snowball Edge 클라이언트를 사용하여 데이터를 장치로 전송합니다. AWS가 Amazon S3로 데이터를 가져올 수 있도록 장치를 반환합니다.
C. 온프레미스에 S3 파일 게이트웨이를 배포합니다. S3 파일 게이트웨이에 연결할 퍼블릭 서비스 엔드포인트를 만듭니다. S3 버킷을 만듭니다. S3파일 게이트웨이에 새 NFS 파일 공유를 만듭니다. 새 파일 공유를 S3 버킷으로 지정합니다. 기존 NFS 파일 공유에서 S3 파일 게이트웨이로 데이터를 전송합니다.
D. 온프레미스 네트워크와 AWS 간에 AWS Direct Connect 연결을 설정합니다. 온프레미스에 S3 파일 게이트웨이를 배포합니다. S3 파일 게이트웨이에 연결할 퍼블릭 가상 인터페이스(VIF)를 만듭니다. S3 버킷을 만듭니다. S3 파일 게이트웨이에 새 NFS 파일 공유를 만듭니다. 새 파일 공유를S3 버킷으로 지정합니다. 기존 NFS 파일 공유에서 S3 파일 게이트웨이로 데이터를 전송합니다.","B. AWS Snowball Edge 작업을 만듭니다. 온프레미스에서 Snowball Edge 장치를 받습니다. Snowball Edge 클라이언트를 사용하여 데이터를 장치로 전송합니다. AWS가 Amazon S3로 데이터를 가져올 수 있도록 장치를 반환합니다.",false,false,90
CHOICE,"BH-Q2. 

한 회사가 자사 데이터 센터의 대규모 네트워크 연결 스토리지(NAS) 시스템에 700테라바이트의 데이터를 저장하고 있습니다. 이 회사는 10Gbps AWS Direct Connect 연결이 있는 하이브리드 환경을 보유하고 있습니다. 
규제 기관의 감사 후, 이 회사는 90일 내에 데이터를 클라우드로 이전해야 합니다. 이 회사는 데이터를 효율적이고 중단 없이 이전해야 합니다. 이 회사는 여전히 이전 기간 동안 데이터에 액세스하고 업데이트할 수 있어야 합니다.

어떤 솔루션이 이러한 요구 사항을 충족할까요?",,"A. 기업 데이터 센터에서 AWS DataSync 에이전트를 만듭니다. 데이터 전송 작업을 만듭니다. Amazon S3 버킷으로 전송을 시작합니다.
B. AWS Snowball Edge Storage Optimized 디바이스에 데이터를 백업합니다. 디바이스를 AWS 데이터 센터로 배송합니다. 온프레미스 파일 시스템에 대상 Amazon S3 버킷을 마운트합니다.
C. rsync를 사용하여 Direct Connect 연결을 통해 로컬 스토리지에서 지정된 Amazon S3 버킷으로 데이터를 직접 복사합니다.
D. 테이프에 데이터를 백업합니다. 테이프를 AWS 데이터 센터로 배송합니다. 온프레미스 파일 시스템에 대상 Amazon S3 버킷을 마운트합니다","A. 기업 데이터 센터에서 AWS DataSync 에이전트를 만듭니다. 데이터 전송 작업을 만듭니다. Amazon S3 버킷으로 전송을 시작합니다.",false,false,90
CHOICE,"BH-Q3. 

한 회사에서 UDP 연결을 사용하는 VoIP(Voice over Internet Protocol) 서비스를 제공합니다. 이 서비스는 Auto Scaling 그룹에서 실행되는 Amazon EC2 인스턴스로 구성되어 있습니다. 

이 회사는 여러 AWS 지역에 배포를 보유하고 있습니다. 이 회사는 사용자를 가장 낮은 지연 시간을 가진 지역으로 라우팅해야 합니다. 이 회사는 또한 지역 간의 자동화된 장애 조치가 필요합니다.

어떤 솔루션이 이러한 요구 사항을 충족할까요?",,"A. 네트워크 로드 밸런서(NLB)와 연관된 대상 그룹을 배포합니다. 대상 그룹을 Auto Scaling 그룹과 연결합니다. 각 리전에서 NLB를 AWS Global Accelerator 엔드포인트로 사용합니다.
B. Application Load Balancer(ALB)와 연관된 대상 그룹을 배포합니다. 대상 그룹을 Auto Scaling 그룹과 연결합니다. 각 리전에서 ALB를 AWS Global Accelerator 엔드포인트로 사용합니다.
C. 네트워크 로드 밸런서(NLB)와 연관된 대상 그룹을 배포합니다. 대상 그룹을 Auto Scaling 그룹과 연결합니다. 각 NLB에 대한 별칭을 가리키는 Amazon Route 53 대기 시간 레코드를 만듭니다. 대기 시간 레코드를 오리진으로 사용하는 Amazon CloudFront 배포를 만듭니다.
D. Application Load Balancer(ALB)와 연관된 대상 그룹을 배포합니다. 대상 그룹을 Auto Scaling 그룹과 연결합니다. 각 ALB에 대한 별칭을 가리키는 Amazon Route 53 가중 레코드를 만듭니다. 가중 레코드를 오리진으로 사용하는 Amazon CloudFront 배포를 배포합니다","A. 네트워크 로드 밸런서(NLB)와 연관된 대상 그룹을 배포합니다. 대상 그룹을 Auto Scaling 그룹과 연결합니다. 각 리전에서 NLB를 AWS Global Accelerator 엔드포인트로 사용합니다.",false,false,90
CHOICE,"BH-Q4. 

한 회사가 Amazon API Gateway를 사용하여 타사 서비스 제공자가 액세스하는 REST API를 관리합니다. 회사는 REST API를 SQL 주입 및 크로스 사이트 스크립팅 공격으로부터 보호해야 합니다.

이러한 요구 사항을 충족하는 가장 운영 효율적인 솔루션은 무엇입니까?",,"A. AWS Shield를 구성합니다.
B. AWS WAF를 구성합니다.
C. Amazon CloudFront 배포를 사용하여 API Gateway를 설정합니다. CloudFront에서 AWS Shield를 구성합니다.
D. Amazon CloudFront 배포를 사용하여 API Gateway를 설정합니다. CloudFront에서 AWS WAF를 구성합니다","B. AWS WAF를 구성합니다.",false,false,90
CHOICE,"BH-Q5. 
솔루션 아키텍트는 VPC의 Amazon EC2 인스턴스에서 Amazon DynamoDB로의 API 호출이 인터넷을 통과하지 않도록 해야 합니다.

솔루션 아키텍트는 이 요구 사항을 충족하기 위해 어떤 단계 조합을 취해야 합니까? 
(두 가지를 선택하세요.)",,"A. 엔드포인트에 대한 라우팅 테이블 항목을 만듭니다.
B. DynamoDB에 대한 게이트웨이 엔드포인트를 생성합니다.
C. Amazon EC2에 대한 인터페이스 엔드포인트를 생성합니다.
D. VPC의 각 서브넷에 있는 엔드포인트에 대한 탄력적 네트워크 인터페이스를 생성합니다.
E. 액세스를 제공하기 위해 엔드포인트의 보안 그룹에 보안 그룹 항목을 만듭니다.","A. 엔드포인트에 대한 라우팅 테이블 항목을 만듭니다.
B. DynamoDB에 대한 게이트웨이 엔드포인트를 생성합니다.",true,false,90
CHOICE,"JJ-Q1. 
한 회사가 온프레미스에 150TB의 보관된 이미지 데이터를 저장해 두었는데, 다음 달 안에 AWS 클라우드로 옮겨야 합니다. 회사의 현재 네트워크 연결은 밤에만 이 목적으로 최대 100Mbps 업로드를 허용합니다.

이 데이터를 옮기고 마이그레이션 마감일을 맞추는 가장 비용 효율적인 메커니즘은 무엇입니까?",,"A. AWS Snowmobile을 사용하여 AWS로 데이터를 전송합니다.
B. 여러 개의 AWS Snowball 장치를 주문하여 데이터를 AWS로 배송합니다.
C. Amazon S3 전송 가속(Tranfer Acceleration)을 활성화하고 데이터를 안전하게 업로드합니다.
D. Amazon S3 VPC 엔드포인트를 생성하고 VPN을 설정하여 데이터를 업로드합니다","B. 여러 개의 AWS Snowball 장치를 주문하여 데이터를 AWS로 배송합니다.",false,false,90
CHOICE,"JJ-Q2. 한 회사는 단일 공장에 있는 여러 기계에서 매일 10TB의 계측 데이터를 수신합니다. 이 데이터는 공장 내에 있는 온프레미스 데이터 센터의 SAN(스토리지 영역 네트워크)에 저장된 JSON 파일로 구성됩니다. 
이 회사는 이 데이터를 Amazon S3로 보내서 중요한 거의 실시간 분석을 제공하는 여러 추가 시스템에서 액세스할 수 있도록 하려고 합니다. 데이터가 민감한 것으로 간주되므로 안전한 전송이 중요합니다.
가장 안정적인 데이터 전송을 제공하는 솔루션은 무엇입니까?",,"A. 공개 인터넷을 통한 AWS DataSync
B. AWS Direct Connect를 통한 AWS DataSync
C. 공용 인터넷을 통한 AWS Database Migration Service(AWS DMS)
D. AWS Direct Connect를 통한 AWS Database Migration Service(AWS DMS)","B. AWS Direct Connect를 통한 AWS DataSync",false,false,90
CHOICE,"JJ-Q3. 온라인 게임 회사가 회사의 성장하는 사용자 기반을 지원하기 위해 사용자 데이터 저장소를 Amazon DynamoDB로 전환하고 있습니다. 현재 아키텍처에는 사용자 프로필, 업적 및 게임 내 거래가 포함된 DynamoDB 테이블이 포함됩니다.
이 회사는 사용자에게 원활한 게임 경험을 유지하기 위해 견고하고 지속적으로 사용 가능하며 회복성이 있는 DynamoDB 아키텍처를 설계해야 합니다.
이러한 요구 사항을 가장 비용 효율적으로 충족할 솔루션은 무엇입니까?",,"A. 단일 AWS 리전에서 DynamoDB 테이블을 만듭니다. 온디맨드 용량 모드를 사용합니다. 글로벌 테이블을 사용하여 여러 리전에 데이터를 복제합니다.
B. DynamoDB Accelerator(DAX)를 사용하여 자주 액세스하는 데이터를 캐시합니다. 단일 AWS 리전에 테이블을 배포하고 자동 확장을 활성화합니다. 추가 리전에 대한 크로스 리전 복제를 수동으로 구성합니다.
C. 여러 AWS 리전에 DynamoDB 테이블을 만듭니다. 온디맨드 용량 모드를 사용합니다. 리전 간 크로스 리전 복제를 위해 DynamoDB Streams를 사용합니다.
D. DynamoDB 글로벌 테이블을 사용하여 자동 다중 리전 복제를 수행합니다. 여러 AWS 리전에 테이블을 배포합니다. 프로비저닝된 용량 모드를 사용합니다. 자동 스케일링을 활성화합니다.","D. DynamoDB 글로벌 테이블을 사용하여 자동 다중 리전 복제를 수행합니다. 여러 AWS 리전에 테이블을 배포합니다. 프로비저닝된 용량 모드를 사용합니다. 자동 스케일링을 활성화합니다.",false,false,90
CHOICE,"JJ-Q4. 회사의 웹 애플리케이션은 Application Load Balancer 뒤의 Amazon EC2 인스턴스에서 실행 중입니다. 
회사는 최근 정책을 변경하여 이제 애플리케이션에 특정 국가에서만 액세스해야 합니다.
어떤 구성이 이 요구 사항을 충족할까요?",,"A. EC2 인스턴스에 대한 보안 그룹을 구성합니다.
B. Application Load Balancer에서 보안 그룹을 구성합니다.
C. VPC의 Application Load Balancer에 AWS WAF를 구성합니다.
D. EC2 인스턴스가 포함된 서브넷에 대한 네트워크 ACL을 구성합니다","C. VPC의 Application Load Balancer에 AWS WAF를 구성합니다.",false,false,90
CHOICE,"JJ-Q5. 한 회사의 이미지 호스팅 웹사이트는 전 세계 사용자에게 모바일 기기에서 이미지를 업로드, 보기, 다운로드할 수 있는 기능을 제공합니다. 이 회사는 현재 Amazon S3 버킷에서 정적 웹사이트를 호스팅하고 있습니다.
웹사이트의 인기가 높아짐에 따라 웹사이트 성능이 저하되었습니다. 사용자는 이미지를 업로드하고 다운로드할 때 지연 문제가 있다고 보고했습니다.
이 회사는 웹사이트의 성능을 개선해야 합니다.

어떤 솔루션이 최소한의 구현 노력으로 이러한 요구 사항을 충족할까요?",,"A. S3 버킷에 대한 Amazon CloudFront 배포를 구성하여 다운로드 성능을 개선합니다. S3 Transfer Acceleration을 활성화하여 업로드 성능을 개선합니다.
B. 여러 AWS 지역에서 적절한 크기의 Amazon EC2 인스턴스를 구성합니다. 애플리케이션을 EC2 인스턴스로 마이그레이션합니다. Application Load Balancer를 사용하여 웹사이트 트래픽을 EC2 인스턴스에 균등하게 분산합니다. AWS Global Accelerator를 구성하여 낮은 지연 시간으로 글로벌 수요를 처리합니다.
C. S3 버킷을 오리진으로 사용하는 Amazon CloudFront 배포를 구성하여 다운로드 성능을 개선합니다. CloudFront를 사용하여 이미지 업로드 성능을 개선하도록 애플리케이션을 구성합니다. 여러 AWS 리전에 S3 버킷을 만듭니다. 버킷에 대한 복제 규칙을 구성하여 사용자의 위치를 기반으로 사용자의 데이터를 복제합니다. 각 사용자의 위치에 가장 가까운 S3 버킷으로 다운로드를 리디렉션합니다.
D. 네트워크 성능을 개선하기 위해 S3 버킷에 대한 AWS Global Accelerator를 구성합니다. S3 버킷 대신 Global Accelerator를 사용하도록 애플리케이션에 대한 엔드포인트를 만듭니다.","A. S3 버킷에 대한 Amazon CloudFront 배포를 구성하여 다운로드 성능을 개선합니다. S3 Transfer Acceleration을 활성화하여 업로드 성능을 개선합니다.",false,false,90
CHOICE,"YH-Q1. 회사는 30일 이내에 데이터 센터에서 AWS 클라우드로 20TB의 데이터를 마이그레이션해야 합니다. 회사의 네트워크 대역폭은 15Mbps로 제한되며 사용률은 70%를 초과할 수 없습니다.

솔루션 아키텍트는 이러한 요구 사항을 충족하기 위해 무엇을 해야 합니까?",,"A. AWS Snowball을 사용하세요.
B. AWS DataSync를 사용합니다.
C. 안전한 VPN 연결을 사용하세요.
D. Amazon S3 전송 가속을 사용합니다","A. AWS Snowball을 사용하세요.",false,false,90
CHOICE,"YH-Q2. 회사가 사내에 데이터를 저장합니다. 데이터 양이 회사의 가용 용량을 초과하여 증가하고 있습니다. 회사는 사내 위치에서 Amazon S3 버킷으로 데이터를 마이그레이션하려고 합니다. 회사는 전송 후 데이터 무결성을 자동으로 검증하는 솔루션이 필요합니다.
어떤 솔루션이 이러한 요구 사항을 충족할까요?",,"A. AWS Snowball Edge 장치를 주문합니다. Snowball Edge 장치를 구성하여 S3 버킷으로 온라인 데이터 전송을 수행합니다.
B. 온프레미스에 AWS DataSync 에이전트를 배포합니다. DataSync 에이전트를 구성하여 S3 버킷으로 온라인 데이터 전송을 수행합니다.
C. 온프레미스에서 Amazon S3 파일 게이트웨이 생성 S3 파일 게이트웨이를 구성하여 S3 버킷으로 온라인 데이터 전송을 수행합니다.
D. 온프레미스에서 Amazon S3 Transfer Acceleration에서 가속기를 구성합니다. 가속기를 구성하여 S3 버킷으로 온라인 데이터 전송을 수행합니다.","B. 온프레미스에 AWS DataSync 에이전트를 배포합니다. DataSync 에이전트를 구성하여 S3 버킷으로 온라인 데이터 전송을 수행합니다.",false,false,90
